ds4: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 attention=0.046 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 attn_output=0.329 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 ffn_hc_pre=0.027 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 router=0.028 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 routed_moe=0.354 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 shared_down=0.055 ms
ds4: metal layer stage part=decode layer=5 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 attn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 q_path=0.212 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 kv_path=0.014 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 compressor_indexer=0.111 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 attention=0.076 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 attn_output=0.324 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 attn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 routed_moe=0.359 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 shared_gate_up=0.092 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=6 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 attn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 q_path=0.214 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 kv_path=0.013 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 compressor_indexer=0.048 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 attention=0.046 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 attn_output=0.323 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 ffn_hc_pre=0.027 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 routed_moe=0.364 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 shared_gate_up=0.089 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=7 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 attn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 q_path=0.214 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 kv_path=0.014 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 compressor_indexer=0.113 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 attention=0.077 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 attn_output=0.323 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 router=0.033 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 routed_moe=0.359 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 shared_gate_up=0.094 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 shared_down=0.055 ms
ds4: metal layer stage part=decode layer=8 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 attn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 q_path=0.214 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 kv_path=0.014 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 compressor_indexer=0.049 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 attention=0.047 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 attn_output=0.317 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 attn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 ffn_hc_pre=0.024 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 routed_moe=0.352 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=9 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=10 pos=24 tokens=1 attn_hc_pre=0.030 ms
ds4: metal layer stage part=decode layer=10 pos=24 tokens=1 attn_norm=0.001 ms
